l,m,Clm,Slm,sigmaClm,sigmaSlm
16,12,1.95631858722835e-08,6.7253976431218104e-09,3.369754007e-12,3.367861653e-12
16,13,1.37744095920323e-08,1.0474546777446601e-09,3.586537296e-12,3.578348754e-12
16,14,-1.93451561175034e-08,-3.86522367774771e-08,5.032851845e-12,5.044909492e-12
16,15,-1.44196100302905e-08,-3.27760669358925e-08,6.040432698e-12,6.040495371e-12
16,16,-3.82992884797529e-08,2.9586071471038904e-09,5.081784014e-12,5.085556534e-12
17,0,1.91875988417387e-08,0.0,5.004341209e-13,0.0
17,1,-2.53645204657949e-08,-3.17042482135934e-08,4.821005753e-13,5.271238284e-13
17,2,-2.01017447758198e-08,6.8137605834392805e-09,5.401623189e-13,5.046752252e-13
17,3,6.308395620277221e-09,5.083086543945361e-09,5.692863181e-13,5.660781496e-13
17,4,6.475157784331841e-09,2.53354668311939e-08,7.190495531e-13,7.08465835e-13
17,5,-1.62193992995631e-08,8.030017329116051e-09,8.579626357e-13,8.595901576e-13
17,6,-1.17320425248787e-08,-2.94401279670302e-08,1.135698736e-12,1.129050893e-12
17,7,2.49764681793243e-08,-4.385544290957681e-09,1.358464974e-12,1.359384602e-12
17,8,3.90006528364112e-08,3.6343999054358204e-09,1.6838619e-12,1.681525027e-12
17,9,3.4790184111858205e-09,-2.76427048005195e-08,1.897744112e-12,1.895518538e-12
17,10,-3.79589397747057e-09,1.83778246503248e-08,2.291849011e-12,2.292592646e-12
17,11,-1.60174948249694e-08,1.10870581174922e-08,2.548133131e-12,2.549067942e-12
17,12,2.87221517856901e-08,2.04582230384783e-08,3.043376539e-12,3.040421017e-12
17,13,1.65063239919241e-08,2.01356543378344e-08,3.58323225e-12,3.578475155e-12
17,14,-1.42747771121823e-08,1.15742828658331e-08,3.714889514e-12,3.725985745e-12
17,15,5.53783372805876e-09,5.2434065649620106e-09,5.435602324e-12,5.428158116e-12
17,16,-3.03992561155655e-08,3.6027443789566303e-09,6.285631966e-12,6.29376668e-12
17,17,-3.46971352906772e-08,-1.98743584916705e-08,5.269596198e-12,5.270318204e-12
18,0,6.09862871807421e-09,0.0,4.832690267e-13,0.0
18,1,7.201523125181121e-09,-3.92970098282429e-08,4.652946932e-13,5.092910307e-13
18,2,1.47251428316923e-08,1.0833387308781e-08,5.195251576e-13,4.849484952e-13
18,3,-5.04457513185901e-09,-5.849232668223071e-09,5.432414479e-13,5.402665471e-13
18,4,5.46253493560536e-08,-7.86748537792632e-10,6.728923295e-13,6.629148532e-13
18,5,5.9765112834440405e-09,2.61398616579252e-08,8.006902916e-13,8.024327959e-13
18,6,1.35775785802306e-08,-1.32446105152748e-08,1.04497013e-12,1.038619314e-12
18,7,6.79347259309753e-09,7.467901727094861e-09,1.276489517e-12,1.277231585e-12
18,8,3.04992690074792e-08,4.34439798188153e-09,1.543291298e-12,1.541061482e-12
18,9,-1.95696822181729e-08,3.61306774690565e-08,1.822568725e-12,1.820270958e-12
18,10,5.2152899491986105e-09,-4.24068379064049e-09,2.057527255e-12,2.058785601e-12
18,11,-6.88640849277642e-09,2.11925103597343e-09,2.477764803e-12,2.478892841e-12
18,12,-2.97489841938418e-08,-1.65609165083241e-08,2.698986668e-12,2.697258575e-12
18,13,-6.253797107473381e-09,-3.49391913136191e-08,3.235030062e-12,3.23013407e-12
18,14,-8.294972094255851e-09,-1.28330547008713e-08,3.777974539e-12,3.78250991e-12
18,15,-4.04690219510979e-08,-2.02806589920597e-08,3.909157356e-12,3.904157413e-12
18,16,1.01653114622966e-08,6.50425930141024e-09,5.466808717e-12,5.476695395e-12
18,17,3.48327556578355e-09,4.37638847248534e-09,6.588735035e-12,6.577800134e-12
18,18,2.9906232591173704e-09,-1.08590059665012e-08,5.496945201e-12,5.492233625e-12
19,0,-3.3031364344474704e-09,0.0,4.70593288e-13,0.0
